Nama,Email,Jenis Kelamin,Umur,Kota Domisili,Pekerjaan,No HP,Hobi,Preferensi Perjalanan,SIM
"Tgk. Gandewa Marpaung, S.E.I",tgkgandewamarpaungsei@example.com,Wanita,41,Tanjungpinang,Armed forces logistics/support/administrative officer,0882970408618,Bersepeda,Wisata Sejarah dan Religi,SIM A
Tgk. Zamira Prasetya,tgkzamiraprasetya@example.com,Pria,36,Tegal,"Secretary, company",0836911759205,Mendaki,Wisata Kuliner,SIM C
Drs. Lala Hartati,drslalahartati@example.com,Pria,22,Bengkulu,Chartered loss adjuster,0848456772397,Memasak,Wisata Sejarah dan Religi,SIM A dan C
Pia Zulkarnain,piazulkarnain@example.com,Pria,19,Surabaya,"Lighting technician, broadcasting/film/video",0873389254020,Mendaki,Wisata Alam,-
Sutan Kalim Pradana,sutankalimpradana@example.com,Wanita,33,Padang,Radio broadcast assistant,0854316171646,Membaca,Wisata Sejarah dan Religi,SIM A
Cawuk Prastuti,cawukprastuti@example.com,Pria,28,Bitung,Video editor,0877466494621,Fotografi,Wisata Seni dan Budaya,-
Galih Padmasari,galihpadmasari@example.com,Wanita,27,Magelang,Animal nutritionist,0890429604279,Membaca,Wisata Kuliner,SIM C
"Puti Wani Novitasari, S.I.Kom",putiwaninovitasarisikom@example.com,Pria,31,Bandar Lampung,"Pharmacist, community",0817127545703,Menulis,Wisata Kuliner,SIM C
Tgk. Virman Simanjuntak,tgkvirmansimanjuntak@example.com,Pria,50,Jayapura,"Psychologist, occupational",0853683276690,Membaca,Wisata Alam,SIM A
Kasiyah Hastuti,kasiyahhastuti@example.com,Wanita,21,Tarakan,Technical author,0872282657010,Berkebun,Wisata Kuliner,SIM C
Bahuwarna Suryatmi,bahuwarnasuryatmi@example.com,Pria,48,Lubuklinggau,Commercial/residential surveyor,0846165457205,Mendaki,Wisata Seni dan Budaya,-
Citra Situmorang,citrasitumorang@example.com,Wanita,43,Sukabumi,Fast food restaurant manager,0897975702466,Berkebun,Wisata Kuliner,-
Drs. Jumari Wibisono,drsjumariwibisono@example.com,Wanita,27,Bima,Health and safety inspector,0863826278587,Berkebun,Wisata Kuliner,SIM A dan C
Jane Handayani,janehandayani@example.com,Pria,44,Cirebon,Quality manager,0864230540063,Menyelam,Wisata Alam,SIM A
Margana Maryati,marganamaryati@example.com,Pria,18,Banjarbaru,Gaffer,0899126840939,Fotografi,Wisata Seni dan Budaya,-
"Carla Namaga, S.Farm",carlanamagasfarm@example.com,Pria,26,Pagaralam,Air cabin crew,0890297282792,Bersepeda,Wisata Kuliner,SIM A
Jindra Sihotang,jindrasihotang@example.com,Wanita,33,Salatiga,"Biochemist, clinical",0860200182988,Menulis,Wisata Seni dan Budaya,SIM A dan C
"R.A. Azalea Maryati, M.Ak",raazaleamaryatimak@example.com,Wanita,47,Kota Administrasi Jakarta Selatan,"Therapist, horticultural",0856596387624,Menulis,Wisata Sejarah dan Religi,-
Jaga Latupono,jagalatupono@example.com,Wanita,43,Meulaboh,"Therapist, sports",0891844496506,Membaca,Wisata Seni dan Budaya,SIM A dan C
Gandewa Nababan,gandewanababan@example.com,Pria,30,Tasikmalaya,Clinical cytogeneticist,0868578743334,Menulis,Wisata Seni dan Budaya,SIM A dan C
Emas Latupono,emaslatupono@example.com,Pria,34,Banjarbaru,"Copywriter, advertising",0889596236196,Menyelam,Wisata Seni dan Budaya,-
"Lili Suwarno, S.I.Kom",lilisuwarnosikom@example.com,Wanita,25,Padang,Bonds trader,0853362133444,Bersepeda,Wisata Alam,SIM A dan C
Dr. Kasiyah Prastuti,drkasiyahprastuti@example.com,Pria,28,Pontianak,Product designer,0855363569841,Bersepeda,Wisata Sejarah dan Religi,-
"dr. Warsita Gunarto, M.TI.",drwarsitagunartomti@example.com,Pria,38,Samarinda,"Surveyor, land/geomatics",0841137127085,Mendaki,Wisata Alam,-
Harsaya Widodo,harsayawidodo@example.com,Pria,40,Gorontalo,Aeronautical engineer,0833344629905,Memasak,Wisata Kuliner,-
Baktiono Putra,baktionoputra@example.com,Pria,24,Tidore Kepulauan,"Engineer, mining",0835082684686,Menulis,Wisata Seni dan Budaya,SIM C
"Puti Wani Sudiati, M.Ak",putiwanisudiatimak@example.com,Wanita,27,Sabang,"Therapist, art",0893764636590,Mendaki,Wisata Sejarah dan Religi,SIM C
"Warsita Melani, S.Ked",warsitamelanisked@example.com,Pria,43,Payakumbuh,Plant breeder/geneticist,0851294579514,Memasak,Wisata Alam,-
"Dr. Hilda Simanjuntak, S.Kom",drhildasimanjuntakskom@example.com,Pria,45,Padang,Financial planner,0836443655530,Fotografi,Wisata Alam,-
Suci Uyainah,suciuyainah@example.com,Pria,40,Bitung,Community arts worker,0849693886900,Fotografi,Wisata Alam,SIM A
Xanana Farida,xananafarida@example.com,Pria,44,Sibolga,Industrial/product designer,0863010498954,Menyelam,Wisata Seni dan Budaya,SIM A
"Drs. Hamima Hastuti, S.IP",drshamimahastutisip@example.com,Wanita,28,Meulaboh,"Civil engineer, contracting",0838352407459,Menulis,Wisata Alam,SIM A
Gaiman Kuswandari,gaimankuswandari@example.com,Pria,24,Tidore Kepulauan,Production manager,0883757789776,Berkebun,Wisata Sejarah dan Religi,-
"Ir. Indra Winarno, S.Sos",irindrawinarnossos@example.com,Wanita,21,Purwokerto,"Civil engineer, consulting",0845625995014,Menulis,Wisata Seni dan Budaya,-
Widya Narpati,widyanarpati@example.com,Pria,39,Tual,Cartographer,0821238458920,Memasak,Wisata Alam,SIM A dan C
R. Diana Sihotang,rdianasihotang@example.com,Wanita,35,Pagaralam,Metallurgist,0823192526881,Bersepeda,Wisata Seni dan Budaya,-
Putri Thamrin,putrithamrin@example.com,Pria,36,Sungai Penuh,Music therapist,0852141658590,Fotografi,Wisata Alam,SIM A
"Cut Wulan Permadi, S.IP",cutwulanpermadisip@example.com,Wanita,27,Bau-Bau,Armed forces operational officer,0811295011268,Memasak,Wisata Sejarah dan Religi,SIM A dan C
"drg. Lukman Maulana, S.Kom",drglukmanmaulanaskom@example.com,Wanita,41,Metro,"Administrator, sports",0864654581470,Fotografi,Wisata Kuliner,SIM A
Nadia Zulkarnain,nadiazulkarnain@example.com,Pria,29,Langsa,"Engineer, water",0832486559480,Menulis,Wisata Kuliner,SIM A dan C
Vera Nababan,veranababan@example.com,Wanita,31,Padang,Animal technologist,0887888924618,Memasak,Wisata Alam,SIM C
Candrakanta Pertiwi,candrakantapertiwi@example.com,Wanita,29,Madiun,Corporate treasurer,0815583271852,Fotografi,Wisata Seni dan Budaya,SIM A dan C
Eman Hutagalung,emanhutagalung@example.com,Pria,27,Bandar Lampung,Tree surgeon,0895311837248,Membaca,Wisata Kuliner,-
drg. Ina Haryanto,drginaharyanto@example.com,Wanita,42,Kota Administrasi Jakarta Selatan,Aeronautical engineer,0873158986945,Fotografi,Wisata Kuliner,SIM A dan C
Hj. Kasiyah Pradana,hjkasiyahpradana@example.com,Wanita,42,Pekalongan,"Surveyor, insurance",0855048975839,Berkebun,Wisata Alam,SIM C
Lintang Simbolon,lintangsimbolon@example.com,Pria,32,Tidore Kepulauan,"Conservation officer, historic buildings",0870270604925,Fotografi,Wisata Seni dan Budaya,SIM C
Kiandra Najmudin,kiandranajmudin@example.com,Pria,43,Jayapura,Illustrator,0852565756044,Menulis,Wisata Sejarah dan Religi,SIM A dan C
Cemeti Pradipta,cemetipradipta@example.com,Wanita,29,Mataram,Biomedical scientist,0840627173604,Bersepeda,Wisata Sejarah dan Religi,-
dr. Bakti Sudiati,drbaktisudiati@example.com,Wanita,31,Denpasar,"Radiographer, therapeutic",0846679821466,Fotografi,Wisata Seni dan Budaya,SIM C
Gantar Nugroho,gantarnugroho@example.com,Pria,19,Tarakan,Clinical embryologist,0849274184699,Menulis,Wisata Alam,SIM A
"Rusman Waluyo, S.E.",rusmanwaluyose@example.com,Pria,39,Prabumulih,"Designer, fashion/clothing",0867066133562,Menulis,Wisata Kuliner,-
Titi Farida,titifarida@example.com,Pria,21,Meulaboh,"Scientist, research (physical sciences)",0824908853281,Membaca,Wisata Kuliner,SIM A
Vinsen Nuraini,vinsennuraini@example.com,Wanita,42,Metro,IT trainer,0824829206804,Fotografi,Wisata Alam,SIM A dan C
Kurnia Mangunsong,kurniamangunsong@example.com,Wanita,46,Pematangsiantar,Multimedia specialist,0823115639744,Berkebun,Wisata Alam,SIM C
Taufik Thamrin,taufikthamrin@example.com,Wanita,21,Pematangsiantar,Rural practice surveyor,0895957823341,Menyelam,Wisata Seni dan Budaya,SIM C
Puti Januar,putijanuar@example.com,Wanita,27,Pematangsiantar,IT sales professional,0881577835380,Memasak,Wisata Seni dan Budaya,SIM C
Dt. Panji Ardianto,dtpanjiardianto@example.com,Wanita,29,Tual,"Surveyor, minerals",0863077284494,Memasak,Wisata Alam,SIM C
Banara Ardianto,banaraardianto@example.com,Wanita,29,Bitung,Publishing rights manager,0868322807806,Membaca,Wisata Kuliner,SIM A dan C
"Jasmin Widiastuti, S.Ked",jasminwidiastutisked@example.com,Pria,23,Banjar,Economist,0821087888629,Berkebun,Wisata Sejarah dan Religi,SIM A
Dr. Rini Ardianto,drriniardianto@example.com,Wanita,18,Tidore Kepulauan,Homeopath,0859518652947,Menulis,Wisata Sejarah dan Religi,SIM A
Iriana Januar,irianajanuar@example.com,Pria,47,Cimahi,Arts development officer,0894898244981,Membaca,Wisata Seni dan Budaya,SIM A dan C
"R. Eva Winarno, S.E.",revawinarnose@example.com,Pria,50,Pekanbaru,Academic librarian,0892222132138,Fotografi,Wisata Seni dan Budaya,SIM C
"R. Darmaji Saptono, S.Kom",rdarmajisaptonoskom@example.com,Pria,29,Pangkalpinang,Product designer,0861552468501,Membaca,Wisata Alam,SIM C
"Dt. Makuta Suartini, S.Sos",dtmakutasuartinissos@example.com,Wanita,34,Jambi,"Programmer, systems",0836448498942,Menulis,Wisata Alam,SIM A dan C
Ani Novitasari,aninovitasari@example.com,Pria,48,Lubuklinggau,Charity fundraiser,0850870575238,Berkebun,Wisata Kuliner,SIM A
Teddy Jailani,teddyjailani@example.com,Pria,44,Tangerang Selatan,"Physicist, medical",0879372103974,Memasak,Wisata Sejarah dan Religi,SIM C
Tgk. Estiawan Mayasari,tgkestiawanmayasari@example.com,Wanita,27,Serang,Copy,0821620678816,Menulis,Wisata Sejarah dan Religi,SIM A
"Safina Prayoga, S.T.",safinaprayogast@example.com,Wanita,32,Pasuruan,Chief Strategy Officer,0815662023821,Fotografi,Wisata Sejarah dan Religi,-
"drg. Enteng Safitri, M.TI.",drgentengsafitrimti@example.com,Wanita,41,Banjarbaru,Hydrogeologist,0895802022000,Menyelam,Wisata Alam,SIM A
"KH. Irwan Prayoga, S.Kom",khirwanprayogaskom@example.com,Wanita,35,Tebingtinggi,Social worker,0838632643861,Mendaki,Wisata Kuliner,-
"Tira Suryono, S.Psi",tirasuryonospsi@example.com,Pria,35,Tebingtinggi,Quarry manager,0887365636949,Membaca,Wisata Alam,SIM A
drg. Tri Haryanto,drgtriharyanto@example.com,Wanita,29,Jambi,"Lecturer, further education",0810193139597,Berkebun,Wisata Seni dan Budaya,SIM C
Ratna Sudiati,ratnasudiati@example.com,Pria,37,Ambon,"Engineer, building services",0848537324756,Menyelam,Wisata Seni dan Budaya,-
Sutan Teguh Halim,sutanteguhhalim@example.com,Pria,22,Mataram,English as a foreign language teacher,0835352617944,Memasak,Wisata Sejarah dan Religi,SIM C
Ulva Salahudin,ulvasalahudin@example.com,Wanita,25,Kota Administrasi Jakarta Timur,"Psychologist, prison and probation services",0841048039934,Memasak,Wisata Sejarah dan Religi,SIM A dan C
"Puti Restu Saragih, S.Farm",putirestusaragihsfarm@example.com,Wanita,25,Tasikmalaya,Amenity horticulturist,0894274927917,Mendaki,Wisata Kuliner,-
Keisha Kuswandari,keishakuswandari@example.com,Pria,45,Cilegon,Pensions consultant,0810916556015,Berkebun,Wisata Kuliner,SIM A dan C
Suci Dabukke,sucidabukke@example.com,Pria,18,Jambi,Advertising copywriter,0871065968018,Menulis,Wisata Kuliner,SIM A
"Dr. Kezia Uwais, M.Kom.",drkeziauwaismkom@example.com,Wanita,44,Bau-Bau,Theatre stage manager,0843436640220,Fotografi,Wisata Alam,-
"Ilsa Usada, M.Pd",ilsausadampd@example.com,Wanita,32,Tebingtinggi,"Education officer, museum",0895148745746,Berkebun,Wisata Alam,SIM A
Damu Tamba,damutamba@example.com,Wanita,22,Mojokerto,Pensions consultant,0889974795797,Menulis,Wisata Sejarah dan Religi,SIM A dan C
"drg. Novi Uwais, S.E.",drgnoviuwaisse@example.com,Wanita,30,Bekasi,"Psychologist, prison and probation services",0888028817997,Menyelam,Wisata Seni dan Budaya,SIM A dan C
"R. Genta Habibi, M.TI.",rgentahabibimti@example.com,Wanita,23,Yogyakarta,Media planner,0823247583607,Mendaki,Wisata Alam,SIM A dan C
Kunthara Firmansyah,kuntharafirmansyah@example.com,Pria,33,Manado,Careers adviser,0851482628301,Membaca,Wisata Alam,-
Drs. Yance Yuniar,drsyanceyuniar@example.com,Wanita,46,Tegal,Tax inspector,0820493735102,Memasak,Wisata Alam,SIM C
Martani Wasita,martaniwasita@example.com,Pria,42,Sabang,"Designer, industrial/product",0889816442864,Fotografi,Wisata Kuliner,SIM A dan C
Rika Prasasta,rikaprasasta@example.com,Wanita,17,Banjarbaru,Hospital doctor,0892497133856,Berkebun,Wisata Kuliner,SIM A dan C
"Fitria Wibisono, S.Psi",fitriawibisonospsi@example.com,Pria,19,Pagaralam,Music tutor,0893637629719,Menulis,Wisata Alam,SIM C
R. Sari Farida,rsarifarida@example.com,Wanita,26,Gorontalo,Tax adviser,0880395456397,Memasak,Wisata Seni dan Budaya,SIM A
"Saka Marpaung, S.E.I",sakamarpaungsei@example.com,Pria,22,Purwokerto,Trade mark attorney,0892230450415,Menulis,Wisata Kuliner,-
Laksana Irawan,laksanairawan@example.com,Pria,23,Semarang,Dance movement psychotherapist,0895270535451,Membaca,Wisata Alam,SIM A
Dr. Zelda Tamba,drzeldatamba@example.com,Pria,50,Kota Administrasi Jakarta Barat,Theatre manager,0884283465988,Bersepeda,Wisata Kuliner,SIM C
"Okta Mulyani, M.Kom.",oktamulyanimkom@example.com,Wanita,24,Tidore Kepulauan,Translator,0877559954299,Bersepeda,Wisata Kuliner,-
Hj. Betania Dongoran,hjbetaniadongoran@example.com,Wanita,31,Ternate,Risk analyst,0883028491203,Membaca,Wisata Alam,-
"Hj. Hilda Oktaviani, S.T.",hjhildaoktavianist@example.com,Wanita,29,Bau-Bau,"Editor, magazine features",0822663428136,Menyelam,Wisata Seni dan Budaya,SIM C
Puti Umi Kusumo,putiumikusumo@example.com,Pria,43,Sungai Penuh,Geophysicist/field seismologist,0865908557431,Membaca,Wisata Seni dan Budaya,SIM A
"Elvina Yolanda, S.H.",elvinayolandash@example.com,Wanita,29,Parepare,"Development worker, community",0851494390576,Menulis,Wisata Alam,SIM A
Kemal Prasetyo,kemalprasetyo@example.com,Pria,26,Dumai,Energy engineer,0812869082805,Fotografi,Wisata Alam,SIM A
Wisnu Rajata,wisnurajata@example.com,Wanita,36,Pontianak,Health physicist,0835723320802,Mendaki,Wisata Kuliner,SIM A
Vinsen Mardhiyah,vinsenmardhiyah@example.com,Pria,42,Gorontalo,Tourism officer,0877703898389,Fotografi,Wisata Alam,SIM A dan C
Ir. Belinda Yuniar,irbelindayuniar@example.com,Wanita,23,Banjarbaru,"Engineer, maintenance (IT)",0836066455359,Memasak,Wisata Alam,SIM A
Ghaliyati Pudjiastuti,ghaliyatipudjiastuti@example.com,Pria,40,Madiun,Data processing manager,0822290891405,Menyelam,Wisata Seni dan Budaya,SIM A
Vinsen Permata,vinsenpermata@example.com,Wanita,48,Pekanbaru,Secondary school teacher,0881198383068,Menulis,Wisata Alam,SIM A dan C
Laras Budiman,larasbudiman@example.com,Pria,40,Banda Aceh,"Engineer, automotive",0819632215133,Bersepeda,Wisata Alam,-
Pangeran Puspasari,pangeranpuspasari@example.com,Pria,27,Tebingtinggi,Regulatory affairs officer,0826753412393,Bersepeda,Wisata Seni dan Budaya,-
R.A. Hamima Saragih,rahamimasaragih@example.com,Wanita,33,Yogyakarta,Ecologist,0892837134475,Memasak,Wisata Alam,-
"Puti Silvia Waluyo, M.Pd",putisilviawaluyompd@example.com,Pria,34,Tasikmalaya,"Librarian, public",0867921688044,Memasak,Wisata Alam,SIM A
"Puti Olivia Pratama, M.M.",putioliviapratamamm@example.com,Wanita,32,Lubuklinggau,Medical secretary,0841797628976,Berkebun,Wisata Kuliner,SIM A
"Kala Fujiati, M.Ak",kalafujiatimak@example.com,Pria,25,Palangkaraya,"Designer, interior/spatial",0828868175589,Menyelam,Wisata Sejarah dan Religi,SIM C
Kartika Wibisono,kartikawibisono@example.com,Pria,39,Subulussalam,Stage manager,0887131915457,Berkebun,Wisata Kuliner,-
Qori Yolanda,qoriyolanda@example.com,Pria,39,Malang,Garment/textile technologist,0878352177698,Memasak,Wisata Sejarah dan Religi,SIM C
Zelda Safitri,zeldasafitri@example.com,Pria,27,Kendari,Heritage manager,0837760116443,Membaca,Wisata Seni dan Budaya,SIM A
"Drs. Daniswara Situmorang, S.T.",drsdaniswarasitumorangst@example.com,Wanita,39,Batu,Minerals surveyor,0877678487337,Bersepeda,Wisata Kuliner,SIM A
Janet Irawan,janetirawan@example.com,Wanita,50,Tanjungbalai,"Designer, furniture",0894729102819,Menyelam,Wisata Sejarah dan Religi,-
"dr. Ghaliyati Laksmiwati, S.Kom",drghaliyatilaksmiwatiskom@example.com,Pria,43,Medan,Estate agent,0820945997715,Bersepeda,Wisata Kuliner,SIM A
Kiandra Narpati,kiandranarpati@example.com,Wanita,28,Cirebon,Astronomer,0814889523260,Membaca,Wisata Seni dan Budaya,SIM C
